date,block,sub-block,row,vine,vigor,total clusters,weight,initials,,,,,,,,,,,,,,,,,
9/16/21,B1R1,NW,5,"3,4",low,122,20.68,NR,,,,,,,,,,,,,,,,,
9/16/21,B1R1,NW,5,"9,10",low,138,18.82,RH,,,,,,,,,,,,,,,,,
9/16/21,B1R1,NW,3,"6,7",low,156,32.86,NR,,,,,,,,,,,,,,,,,
9/16/21,B1R1,NW,5,"13,14",low,136,20.36,KR,,,,,,,,,,,,,,,,,
9/16/21,B1R1,NW,7,"12,13",low,114,20.54,EW,,,,,,,,,,,,,,,,,
9/16/21,B1R1,NW,3,"4,5",low,181,37.10,KEHE,,,,,,,,,,,,,,,,,
9/16/21,B1R1,NW,5,"5,6",low,141,14.86,AJG,,,,,,,,,,,,,,,,,
9/16/21,B1R1,NW,7,"8,9",low,87,10.24,KB,,,,,,,,,,,,,,,,,
9/16/21,B1R1,NW,3,"10,11",low,144,21.92,RH,,,,,,,,,,,,,,,,,
9/16/21,B1R1,NW,7,"2,3",low,51,6.10,KEHE,,,,,,,,,,,,,,,,,
9/16/21,B1R1,NW,7,"5,6",low,70,7.06,RH,,,,,,,,,,,,,,,,,
9/16/21,B1R1,NW,3,"13,14",low,116,18.76,EW,,,,,,,,,,,,,,,,,
9/16/21,B1R4,SE,3,"3,4",low,123,19.86,AJG+KB,,,,,,,,,,,,,,,,,
9/16/21,B1R4,SE,5,"12,13",low,110,11.84,EW,,,,,,,,,,,,,,,,,
9/16/21,B1R4,SE,7,"4,5",low,140,20.04,RH,,,,,,,,,,,,,,,,,
9/16/21,B1R4,SE,7,"13,14",low,128,20.76,EW,,,,,,,,,,,,,,,,,
9/16/21,B1R4,SE,5,"9,10",low,77,10.22,AJG,,,,,,,,,,,,,,,,,
9/16/21,B1R4,SE,7,"8,9",low,142,21.98,NR,,,,,,,,,,,,,,,,,
9/16/21,B1R4,SE,5,"8,9",low,100,19.44,KEHE,,,,,,,,,,,,,,,,,
9/16/21,B1R4,SE,5,"12,13",low,88,14.60,KB,,,,,,,,,,,,,,,,,
9/16/21,B1R4,SE,5,"14,15",low,101,11.32,NR,,,,,,,,,,,,,,,,,
9/16/21,B1R4,SE,5,"5,6",low,106,12.24,RH,,,,,,,,,,,,,,,,,
9/16/21,B1R3,NW,3,"4,5",low,131,17.86,NR,,,,,,,,,,,,,,,,,
9/16/21,B1R3,NW,3,"8,9",low,121,17.90,NR,,,,,,,,,,,,,,,,,
9/16/21,B1R3,NW,5,"5,6",low,124,19.50,KB,,,,,,,,,,,,,,,,,
9/16/21,B1R3,NW,5,"10,11",low,145,21.54,RH,,,,,,,,,,,,,,,,,
9/16/21,B1R3,NW,7,"10,11",low,102,12.18,AJG,,,,,,,,,,,,,,,,,
9/16/21,B1R3,NW,7,"14,15",low,90,13.82,EW,,,,,,,,,,,,,,,,,
9/16/21,B1R3,NW,3,"11,12",low,109,13.10,EW,,,,,,,,,,,,,,,,,
9/16/21,B1R3,NW,5,"14,15",low,72,11.02,RH,,,,,,,,,,,,,,,,,
9/16/21,B1R3,NW,5,"2,3",low,135,16.94,RH,,,,,,,,,,,,,,,,,
9/16/21,B1R3,NW,7,"6,7",low,80,14.42,EW,,,,,,,,,,,,,,,,,
9/16/21,B2R2,NW,5,"6,7",medium,99,17.06,KB,,,,,,,,,,,,,,,,,
