Pixel,4/6/21,4/7/21,4/22/21,4/23/21,4/24/21,5/1/21,5/3/21,5/4/21,5/5/21,5/17/21,5/25/21,5/27/21,5/29/21,5/31/21,6/1/21,6/2/21,6/3/21,6/4/21,6/5/21,6/8/21,6/9/21,6/10/21,6/11/21,6/12/21,6/14/21,6/15/21,6/16/21,6/17/21,6/18/21,6/19/21,6/21/21,6/22/21,6/23/21,6/24/21,6/25/21,6/26/21,6/28/21,6/29/21,6/30/21,7/1/21,7/2/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21,8/2/21,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/30/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/13/21,9/15/21,9/17/21
1,3:30,1:30,4:00,4:00,4:00,2:30,2:30,23:45,5:00,5:00,3:00,3:00,3:00,5:00,5:00,3:00,3:00,8:00,8:00,5:30,5:30,5:30,5:30,5:30,7:00,7:00,7:00,7:00,7:00,7:00,4:00,4:00,4:00,4:00,4:00,4:00,3:30,3:30,3:30,3:30,5:00,3:30,3:30,3:30,3:30,3:30,23:15,5:00,9:45,23:45,23:45,23:45,23:45,23:45,23:45,23:45,10:00,10:00,10:00,10:00,10:30,10:30,10:30,10:30,10:30,10:30,8:00,8:00,8:00,8:00,8:00,8:00,11:45,11:45,11:45,11:45,11:45,11:45,9:45,9:45,9:45,9:45,9:45,9:45,8:00,8:00,11:00,11:00,11:00,6:30,6:30,6:30,6:30,6:30,6:30,5:30,5:30,5:30,10:00,10:00,10:00,10:00,10:00,10:00,5:00,5:00,5:00
2,3:30,1:30,4:00,4:00,4:00,2:30,2:30,23:45,5:00,5:00,3:30,3:30,3:30,5:00,5:00,3:30,3:30,8:00,8:00,5:30,5:30,5:30,5:30,5:30,7:00,7:00,7:00,7:00,7:00,7:00,4:00,4:00,4:00,4:00,4:00,4:00,4:00,4:00,4:00,4:00,5:00,4:00,4:00,4:00,4:00,4:00,23:15,5:00,9:45,23:45,23:45,23:45,23:45,23:45,23:45,23:45,10:00,10:00,10:00,10:00,12:00,12:00,12:00,12:00,12:00,12:00,8:00,8:00,8:00,8:00,8:00,8:00,10:30,10:30,10:30,10:30,10:30,10:30,8:30,8:30,8:30,8:30,8:30,8:30,8:00,8:00,11:00,11:00,11:00,7:00,7:00,7:00,7:00,7:00,7:00,5:30,5:30,5:30,10:00,10:00,10:00,10:00,10:00,10:00,5:00,5:00,5:00
3,3:30,1:30,4:00,4:00,4:00,2:00,2:00,23:45,5:00,5:00,3:00,3:00,3:00,5:00,5:00,3:00,3:00,8:00,8:00,4:30,4:30,4:30,4:30,4:30,6:00,6:00,6:00,6:00,6:00,6:00,2:30,2:30,2:30,2:30,2:30,2:30,3:00,3:00,3:00,3:00,5:00,3:00,3:00,3:00,3:00,3:00,23:15,5:00,9:15,23:45,23:45,23:45,23:45,23:45,23:45,23:45,10:00,10:00,10:00,10:00,9:00,9:00,9:00,9:00,9:00,9:00,7:00,7:00,7:00,7:00,7:00,7:00,10:30,10:30,10:30,10:30,10:30,10:30,8:30,8:30,8:30,8:30,8:30,8:30,8:00,8:00,11:00,11:00,11:00,6:30,6:30,6:30,6:30,6:30,6:30,5:00,5:00,5:00,10:00,10:00,10:00,10:00,10:00,10:00,5:00,5:00,5:00
4,3:30,1:30,4:00,4:00,4:00,3:30,3:30,23:45,5:00,5:00,6:00,6:00,6:00,5:00,5:00,6:00,6:00,8:00,8:00,4:00,4:00,4:00,4:00,4:00,5:30,6:00,6:00,6:00,6:00,6:00,2:30,2:30,2:30,2:30,2:30,2:30,3:00,3:00,3:00,3:00,5:00,3:00,3:30,3:30,3:30,3:30,23:15,5:00,9:15,23:45,23:45,23:45,23:45,23:45,23:45,23:45,10:00,10:00,10:00,10:00,9:00,9:00,9:00,9:00,9:00,9:00,6:00,6:00,6:00,6:00,6:00,6:00,9:30,9:30,9:30,9:30,9:30,9:30,7:30,7:30,7:30,7:30,7:30,7:30,7:30,7:30,10:30,10:30,10:30,6:30,6:30,6:30,6:30,6:30,6:30,5:00,5:00,5:00,10:00,10:00,10:00,10:00,10:00,10:00,5:00,5:00,5:00
5,3:30,1:30,4:00,4:00,4:00,3:00,3:00,23:45,5:00,5:00,5:00,5:00,5:00,5:00,5:00,5:00,5:00,8:00,8:00,4:00,4:00,4:00,4:00,4:00,5:30,5:30,5:30,5:30,5:30,5:30,2:30,2:30,2:30,2:30,2:30,2:30,3:00,3:00,3:00,3:00,5:00,3:00,3:00,3:00,3:00,3:00,23:15,5:00,9:15,23:45,23:45,23:45,23:45,23:45,23:45,23:45,10:00,10:00,10:00,10:00,9:00,9:00,9:00,9:00,9:00,9:00,8:00,8:00,8:00,8:00,8:00,8:00,11:45,11:45,11:45,11:45,11:45,11:45,9:45,9:45,9:45,9:45,9:45,9:45,8:00,8:00,11:00,11:00,11:00,6:30,6:30,6:30,6:30,6:30,6:30,5:00,5:00,5:00,10:00,10:00,10:00,10:00,10:00,10:00,5:00,5:00,5:00
6,3:30,1:30,4:00,4:00,4:00,3:00,3:00,23:45,5:00,5:00,5:30,5:30,5:30,5:00,5:00,5:30,5:30,8:00,8:00,4:30,4:30,4:30,4:30,4:30,6:00,6:00,6:00,6:00,6:00,6:00,3:00,3:00,3:00,3:00,3:00,3:00,3:00,3:00,3:00,3:00,5:00,3:00,3:30,3:30,3:30,3:30,23:15,5:00,9:15,23:45,23:45,23:45,23:45,23:45,23:45,23:45,10:00,10:00,10:00,10:00,10:30,10:30,10:30,10:30,10:30,10:30,6:00,6:00,6:00,6:00,6:00,6:00,8:30,8:30,8:30,8:30,8:30,8:30,6:30,6:30,6:30,6:30,6:30,6:30,7:00,7:00,10:00,10:00,10:00,6:30,6:30,6:30,6:30,6:30,6:30,5:00,5:00,5:00,10:00,10:00,10:00,10:00,10:00,10:00,5:00,5:00,5:00
7,2:30,1:30,4:00,4:00,4:00,3:00,3:00,23:45,5:00,5:00,4:00,4:00,4:00,5:00,5:00,4:00,4:00,8:00,8:00,4:00,4:00,4:00,4:00,4:00,5:30,5:30,5:30,5:30,5:30,5:30,2:00,2:00,2:00,2:00,2:00,2:00,3:00,3:00,3:00,3:00,5:00,3:00,3:00,3:00,3:00,3:00,23:15,5:00,8:45,23:45,23:45,23:45,23:45,23:45,23:45,23:45,10:00,10:00,10:00,10:00,9:00,9:00,9:00,9:00,9:00,9:00,7:00,7:00,7:00,7:00,7:00,7:00,9:30,9:30,9:30,9:30,9:30,9:30,7:30,7:30,7:30,7:30,7:30,7:30,7:30,7:30,10:30,10:30,10:30,6:30,6:30,6:30,6:30,6:30,6:30,5:00,5:00,5:00,10:00,10:00,10:00,10:00,10:00,10:00,5:00,5:00,5:00
8,2:30,1:30,4:00,4:00,4:00,3:00,3:00,23:45,5:00,5:00,4:30,4:30,4:30,5:00,5:00,4:30,4:30,8:00,8:00,4:30,4:30,4:30,4:30,4:30,6:00,6:00,6:00,6:00,6:00,6:00,3:00,3:00,3:00,3:00,3:00,3:00,2:30,2:30,2:30,2:30,5:00,3:30,3:00,3:00,3:00,3:00,23:15,5:00,9:15,23:45,23:45,23:45,23:45,23:45,23:45,23:45,10:00,10:00,10:00,10:00,10:30,10:30,10:30,10:30,10:30,10:30,6:00,6:00,6:00,6:00,6:00,6:00,8:30,8:30,8:30,8:30,8:30,8:30,6:30,6:30,6:30,6:30,6:30,6:30,7:00,7:00,10:00,10:00,10:00,6:30,6:30,6:30,6:30,6:30,6:30,5:00,5:00,5:00,10:00,10:00,10:00,10:00,10:00,10:00,5:00,5:00,5:00
9,3:15,1:30,4:00,4:00,4:00,3:00,3:00,23:45,5:00,5:00,4:30,4:30,4:30,5:00,5:00,4:30,4:30,8:00,8:00,5:00,5:00,5:00,5:00,5:00,6:30,6:30,6:30,6:30,6:30,6:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,5:00,4:00,3:30,3:30,3:30,3:30,23:15,5:00,9:45,23:45,23:45,23:45,23:45,23:45,23:45,23:45,10:00,10:00,10:00,10:00,12:00,12:00,12:00,12:00,12:00,12:00,6:00,6:00,6:00,6:00,6:00,6:00,8:30,8:30,8:30,8:30,8:30,8:30,6:30,6:30,6:30,6:30,6:30,6:30,7:00,7:00,10:00,10:00,10:00,6:30,6:30,6:30,6:30,6:30,6:30,5:30,5:30,5:30,10:00,10:00,10:00,10:00,10:00,10:00,5:00,5:00,5:00
