"","interval","treatment","round","avg_A","sev"
"1",2019-09-05 06:00:00,1,1,-0.556326878166667,0.0707193489091676
"2",2019-09-05 06:00:00,2,1,-0.644282576333333,0.062874149431758
"3",2019-09-05 06:00:00,3,1,-0.690507476333333,0.0590731160083569
"4",2019-09-05 09:00:00,1,2,11.8232720899444,0.60152652693279
"5",2019-09-05 09:00:00,2,2,10.9228113273333,0.523852110928208
"6",2019-09-05 09:00:00,3,2,13.1390299117407,0.381172214360228
"7",2019-09-05 11:15:00,1,3,13.6893374294444,0.560608645079183
"8",2019-09-05 11:15:00,2,3,15.4969956196296,0.475351314316661
"9",2019-09-05 11:15:00,3,3,15.519806317037,0.472966081614691
"10",2019-09-05 13:30:00,1,4,12.7252895107778,0.599103164024548
"11",2019-09-05 13:30:00,2,4,14.764235762963,0.466334172329063
"12",2019-09-05 13:30:00,3,4,14.1610454641111,0.623180855954144
"13",2019-09-05 17:00:00,1,5,11.3201226612222,0.568176718275782
"14",2019-09-05 17:00:00,2,5,12.8878949318148,0.521066493264483
"15",2019-09-05 17:00:00,3,5,13.8465269738519,0.543411217290758
