date,block,sub-block,row,vine,vigor,total clusters,weight,initials,,,,,,,,,,,,,,,,,
9/15/21,B1R3,SW,5,"6,7",medium,102,13.60,KB,,,,,,,,,,,,,,,,,
9/15/21,B1R3,SW,8,"5,6",medium,96,14.64,EW,,,,,,,,,,,,,,,,,
9/15/21,B1R3,SW,5,"12,13",medium,128,16.40,RH,,,,,,,,,,,,,,,,,
9/15/21,B1R3,SW,3,"3,4",medium,74,12.48,NR,,,,,,,,,,,,,,,,,
9/15/21,B1R3,SW,3,"13,14",medium,80,11.06,NC,,,,,,,,,,,,,,,,,
9/15/21,B1R3,SW,5,"3,4",medium,121,17.46,RH,,,,,,,,,,,,,,,,,
9/15/21,B1R3,SW,5,"14,15",medium,93,22.02,ARU,,,,,,,,,,,,,,,,,
9/15/21,B1R3,SW,8,"8,9",medium,105,13.26,EW,,,,,,,,,,,,,,,,,
9/15/21,B1R3,SW,3,"8,9",medium,62,6.16,NC,,,,,,,,,,,,,,,,,
9/15/21,B1R3,SW,8,"13,14",medium,103,15.74,KB,,,,,,,,,,,,,,,,,
9/15/21,B1R4,NE,3,"7,8",medium,117,17.32,NR,,,,,,,,,,,,,,,,,
9/15/21,B1R4,NE,5,"9,10",medium,71,13.88,EW,,,,,,,,,,,,,,,,,
9/15/21,B1R4,NE,5,"12,13",medium,127,24.48,ARU,,,,,,,,,,,,,,,,,
9/15/21,B1R4,NE,3,"12,13",medium,120,18.72,NR,,,,,,,,,,,,,,,,,
9/15/21,B1R4,NE,5,"13,14",medium,110,19.20,ARU,,,,,,,,,,,,,,,,,
9/15/21,B1R4,NE,5,"4,5",medium,85,15.82,KB,,,,,,,,,,,,,,,,,
9/15/21,B1R4,NE,7,"3,4",medium,108,17.62,KB,,,,,,,,,,,,,,,,,
9/15/21,B1R4,NE,5,"6,7",medium,134,23.88,RH,,,,,,,,,,,,,,,,,
9/15/21,B1R4,NE,7,"8,9",medium,100,22.04,EW,,,,,,,,,,,,,,,,,
9/15/21,B1R4,NE,3,"4,5",medium,115,18.32,RH,,,,,,,,,,,,,,,,,
9/15/21,B2R1,SW,3,"13,14",high,120,21.30,RH,,,,,,,,,,,,,,,,,
9/15/21,B2R1,SW,3,"8,9",high,133,19.18,EW,,,,,,,,,,,,,,,,,
9/15/21,B2R1,SW,7,"2,3",high,65,12.08,NC,,,,,,,,,,,,,,,,,
9/15/21,B2R1,SW,5,"2,3",high,108,27.80,ARU,,,,,,,,,,,,,,,,,
9/15/21,B2R1,SW,3,"5,6",high,114,17.24,RH,,,,,,,,,,,,,,,,,
9/15/21,B2R1,SW,5,"8,9",high,133,27.20,KB,,,,,,,,,,,,,,,,,
9/15/21,B2R1,SW,7,"11,12",high,97,18.36,NR,,,,,,,,,,,,,,,,,
9/15/21,B2R1,SW,7,"8,9",high,105,13.28,EW,,,,,,,,,,,,,,,,,
9/15/21,B2R1,SW,5,"14,15",high,115,18.72,KB,,,,,,,,,,,,,,,,,
9/15/21,B2R1,SW,5,"5,6",high,115,23.10,NC,,,,,,,,,,,,,,,,,
9/15/21,B2R2,NE,5,"6,7",medium,133,13.02,EW+KB,,,,,,,,,,,,,,,,,
9/15/21,B2R2,NE,5,"3,4",medium,103,12.06,EW,,,,,,,,,,,,,,,,,
9/15/21,B2R2,NE,5,"9,10",medium,144,19.52,RH,,,,,,,,,,,,,,,,,
9/15/21,B2R2,NE,3,"9,10",medium,109,12.56,NC,,,,,,,,,,,,,,,,,
9/15/21,B2R2,NE,5,"11,12",medium,118,17.14,KB,,,,,,,,,,,,,,,,,
9/15/21,B2R2,NE,7,"12,13",medium,37,8.28,ARU,,,,,,,,,,,,,,,,,
9/15/21,B2R2,NE,7,"6,7",medium,80,13.94,ARU,,,,,,,,,,,,,,,,,
9/15/21,B2R2,NE,7,"4,5",medium,92,11.92,RH,,,,,,,,,,,,,,,,,
9/15/21,B2R2,NE,3,"7,8",medium,94,14.28,NC,,,,,,,,,,,,,,,,,
9/15/21,B2R2,NE,3,"4,5",medium,130,19.28,NR,,,,,,,,,,,,,,,,,
9/15/21,B2R3,SW,5,"9,10",low,123,22.12,RH,,,,,,,,,,,,,,,,,
9/15/21,B2R3,SW,7,"3,4",low,105,13.26,KB,,,,,,,,,,,,,,,,,
9/15/21,B2R3,SW,3,"14,15",low,179,32.28,NR,,,,,,,,,,,,,,,,,
9/15/21,B2R3,SW,5,"13,14",low,101,17.12,KB,,,,,,,,,,,,,,,,,
9/15/21,B2R3,SW,7,"12,13",low,78,14.86,ARU,,,,,,,,,,,,,,,,,
9/15/21,B2R3,SW,3,"4,5",low,80,10.74,EW,,,,,,,,,,,,,,,,,
9/15/21,B2R3,SW,7,"6,7",low,76,11.74,EW,,,,,,,,,,,,,,,,,
9/15/21,B2R3,SW,5,"2,3",low,104,18.38,NC,,,,,,,,,,,,,,,,,
9/15/21,B2R3,SW,5,"11,12",low,152,23.40,RH,,,,,,,,,,,,,,,,,
9/15/21,B2R3,SW,3,"9,10",low,93,15.50,NC,,,,,,,,,,,,,,,,,
9/15/21,B3R2,SW,5,"14,15",high,154,30.58,NR,,,,,,,,,,,,,,,,,
9/15/21,B3R2,SW,5,"11,12",high,121,22.00,EW,,,,,,,,,,,,,,,,,
9/15/21,B3R2,SW,3,"14,15",high,129,25.88,NC,,,,,,,,,,,,,,,,,
9/15/21,B3R2,SW,3,"5,6",high,101,21.34,RH,,,,,,,,,,,,,,,,,
9/15/21,B3R2,SW,5,"8,9",high,82,18.96,ARU,,,,,,,,,,,,,,,,,
9/15/21,B3R2,SW,7,"4,5",high,142,19.06,NC,,,,,,,,,,,,,,,,,
