Pixel,3/4/20,3/13/20,3/27/20,4/16/20,4/18/20,4/22/20,4/23/20,4/28/20,4/29/20,5/4/20,5/6/20,5/8/20,5/11/20,5/13/20,5/15/20,5/18/20,5/20/20,5/22/20,5/25/20,5/26/20,5/27/20,5/28/20,6/3/20,6/5/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/15/20,6/17/20,6/18/20,6/19/20,6/22/20,6/24/20,6/26/20,6/29/20,7/1/20,7/3/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/15/20,9/16/20,9/18/20,9/19/20,9/21/20,9/22/20
1,08:00,23:45,,08:00,,02:00,05:00,,23:45,,,,,,,03:30,03:30,03:30,02:15,02:15,02:15,02:00,07:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,07:30,07:30,06:00,07:30,07:00,07:00,05:00,07:45,07:45,07:45,02:30,02:30,02:30,02:30,05:00,05:00,05:00,08:00,02:15,02:15,08:15,08:15,16:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00,05:00,05:00,10:00,10:00,10:00,10:00,08:00,08:00,08:00,08:00,08:00,08:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,03:00,06:00,06:00,06:00,06:00,02:00,02:00,02:00,02:00,04:00,04:00,23:15,23:15,23:15,23:15
2,08:00,23:45,08:00,08:00,06:00,08:00,05:00,06:00,23:45,08:00,08:00,08:00,08:00,08:00,08:00,05:00,05:00,05:00,03:00,03:00,03:00,02:00,07:00,05:00,03:30,03:30,03:30,03:30,03:30,03:30,06:00,06:00,06:00,06:00,06:00,06:00,05:00,06:30,06:30,06:30,02:15,02:15,02:15,02:15,05:00,05:00,05:00,08:00,02:15,02:15,08:15,08:15,16:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00,05:00,05:00,10:00,10:00,10:00,10:00,08:00,08:00,08:00,08:00,08:00,08:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,09:00,09:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,03:00,06:00,06:00,06:00,06:00,03:00,03:00,03:00,03:00,04:00,04:00,23:15,23:15,23:15,23:15
3,08:00,23:45,08:00,08:00,06:00,08:00,05:00,06:00,23:45,08:00,08:00,08:00,08:00,08:00,08:00,04:30,04:30,04:30,02:45,02:45,02:45,02:00,07:00,05:00,03:30,03:30,03:30,03:30,03:30,03:30,07:00,07:00,06:00,07:00,05:45,05:45,05:00,06:15,06:15,06:15,02:45,02:45,02:45,02:45,05:00,05:00,05:00,08:00,02:30,02:30,08:30,08:30,16:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00,05:00,05:00,10:00,10:00,10:00,10:00,08:00,08:00,08:00,08:00,08:00,08:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,03:00,06:00,06:00,06:00,06:00,02:00,02:00,02:00,02:00,04:00,04:00,23:15,23:15,23:15,23:15
4,08:00,23:45,,08:00,,02:00,05:00,,23:45,,,,,,,03:30,03:30,03:30,03:30,03:00,03:00,02:00,07:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,07:30,07:30,06:00,07:30,05:45,05:45,05:00,06:15,06:15,06:15,03:45,03:45,03:45,03:45,05:00,02:30,02:30,04:00,03:15,03:15,10:15,10:15,16:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,06:00,06:00,11:00,11:00,11:00,11:00,10:00,10:00,10:00,10:00,10:00,10:00,08:30,08:30,08:30,06:00,06:00,06:00,06:00,06:00,06:00,06:00,08:00,08:00,08:00,08:00,08:00,08:00,08:00,08:00,08:00,05:00,05:00,05:00,05:00,03:00,03:00,03:00,03:00,03:00,03:00,03:00,03:00,04:00,04:00,23:15,23:15,23:15,23:15
5,08:00,23:45,08:00,08:00,06:00,08:00,05:00,06:00,23:45,08:00,08:00,08:00,08:00,08:00,08:00,04:45,04:45,04:45,03:00,03:00,03:00,02:00,07:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,07:00,07:00,06:00,07:00,07:00,07:00,05:00,07:30,07:30,07:30,02:15,02:15,02:15,02:15,05:00,05:00,05:00,08:00,02:30,02:30,08:30,08:30,16:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00,05:00,05:00,10:00,10:00,10:00,10:00,08:00,08:00,08:00,08:00,08:00,08:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,06:30,06:30,06:30,06:30,06:30,06:30,06:30,05:00,05:00,05:00,04:00,06:00,06:00,06:00,06:00,02:00,02:00,02:00,02:00,04:00,04:00,23:15,23:15,23:15,23:15
6,08:00,23:45,,08:00,,02:00,05:00,,23:45,,,,,,,03:15,03:15,03:15,03:30,03:00,03:00,02:00,07:00,05:00,04:45,04:45,04:45,04:45,04:45,04:45,07:00,07:00,06:00,07:00,03:30,03:30,05:00,04:00,04:00,04:00,02:45,02:45,02:45,02:45,05:00,02:30,02:30,04:00,02:45,02:45,08:45,08:45,16:00,04:30,04:30,04:30,04:30,04:30,04:30,04:30,05:30,05:30,10:00,10:00,10:00,10:00,09:00,09:00,09:00,09:00,09:00,09:00,08:30,08:30,08:30,06:00,06:00,06:00,06:00,06:00,06:00,06:00,08:00,08:00,06:30,06:30,06:30,06:30,06:30,06:30,06:30,05:00,05:00,05:00,04:00,03:00,03:00,03:00,03:00,02:00,02:00,02:00,02:00,04:00,04:00,23:15,23:15,23:15,23:15
7,08:00,23:45,,08:00,,02:00,05:00,,23:45,,,,,,,04:00,04:00,04:00,02:30,02:30,02:30,02:00,07:00,05:00,04:45,04:45,04:45,04:45,04:45,04:45,06:45,06:45,06:00,06:45,06:45,06:45,05:00,07:30,07:30,07:30,02:15,02:15,02:15,02:15,05:00,05:00,05:00,08:00,02:30,02:30,08:15,08:15,16:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00,05:00,05:00,10:00,10:00,10:00,10:00,09:00,09:00,09:00,09:00,09:00,09:00,08:30,08:30,08:30,08:30,08:30,08:30,08:30,08:30,08:30,08:30,08:00,08:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,03:00,06:00,06:00,06:00,06:00,02:00,02:00,02:00,02:00,04:00,04:00,23:15,23:15,23:15,23:15
8,08:00,23:45,,08:00,,02:00,05:00,,23:45,,,,,,,03:00,03:00,03:00,02:00,02:00,02:00,02:00,07:00,05:00,03:30,03:30,03:30,03:30,03:30,03:30,05:45,05:45,06:00,05:45,05:15,05:15,05:00,05:45,05:45,05:45,02:00,02:00,02:00,02:00,05:00,05:00,05:00,08:00,02:30,02:30,08:15,08:15,16:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00,05:00,05:00,10:00,10:00,10:00,10:00,09:00,09:00,09:00,09:00,09:00,09:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,04:00,06:00,06:00,06:00,06:00,02:00,02:00,02:00,02:00,04:00,04:00,23:15,23:15,23:15,23:15
9,08:00,23:45,,08:00,,02:00,05:00,,23:45,,,,,,,04:00,04:00,04:00,02:30,02:30,02:30,02:00,07:00,05:00,03:30,03:30,03:30,03:30,03:30,03:30,07:45,07:45,06:00,07:45,07:00,07:00,05:00,07:45,07:45,07:45,03:30,03:30,03:30,03:30,05:00,05:00,05:00,08:00,03:15,03:15,10:15,10:15,16:00,04:45,04:45,04:45,04:45,04:45,04:45,04:45,05:45,05:45,11:00,11:00,11:00,11:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,09:00,09:00,06:30,06:30,06:30,06:30,06:30,06:30,06:30,05:00,05:00,05:00,04:00,06:00,06:00,06:00,06:00,04:00,04:00,04:00,04:00,04:00,04:00,23:15,23:15,23:15,23:15
