"","interval","treatment","round","avg_A","sev"
"1",2019-07-28 06:00:00,1,1,0.904624512166667,0.595992354739005
"2",2019-07-28 06:00:00,2,1,0.445711753222222,0.455821422552235
"3",2019-07-28 06:00:00,3,1,0.234708862888889,0.547941045936602
"4",2019-07-28 09:00:00,1,2,9.68308070255556,0.717728565744648
"5",2019-07-28 09:00:00,2,2,12.4802580728889,0.576406284962598
"6",2019-07-28 09:00:00,3,2,11.8413878446667,0.687526388862207
"7",2019-07-28 11:30:00,1,3,8.67442651422222,0.310365003214494
"8",2019-07-28 11:30:00,2,3,14.751092363,0.575886721226117
"9",2019-07-28 11:30:00,3,3,14.4244455687037,0.815197317043144
"10",2019-07-28 14:00:00,1,4,6.11562807183333,0.457688337477662
"11",2019-07-28 14:00:00,2,4,11.790646530037,0.647901932537495
"12",2019-07-28 14:00:00,3,4,10.3649185975926,0.649670265625106
"13",2019-07-28 17:00:00,1,5,6.51559592288889,0.697457163176344
"14",2019-07-28 17:00:00,2,5,8.30907669937037,0.475238042489112
"15",2019-07-28 17:00:00,3,5,10.5118556259259,0.571696068159952
