"","interval","treatment","p_value","mean","standard_error","letters_ordered.A","letters_ordered.groups","Mean_sem"
"1",2019-08-15 17:00:00,"1",0.00112368992806135,8.39143392916667,0.688012786657229,8.39143392916667,"b","8.39 ± 0.69 b"
"2",2019-08-15 17:00:00,"2",0.00112368992806135,12.9175174812222,0.999109308843074,12.9175174812222,"a","12.92 ± 1 a"
"3",2019-08-15 17:00:00,"3",0.00112368992806135,13.2262682881111,0.860414921869095,13.2262682881111,"a","13.23 ± 0.86 a"
"14",2019-08-15 13:30:00,"1",1.99799134369088e-09,7.92090680922222,0.586382129815093,7.92090680922222,"b","7.92 ± 0.59 b"
"24",2019-08-15 13:30:00,"2",1.99799134369088e-09,15.1336661068148,0.736000024471282,15.1336661068148,"a","15.13 ± 0.74 a"
"34",2019-08-15 13:30:00,"3",1.99799134369088e-09,16.6566145722593,0.958459429187934,16.6566145722593,"a","16.66 ± 0.96 a"
"13",2019-08-15 11:15:00,"1",3.09461743027209e-05,11.2786183043333,1.09421229714648,11.2786183043333,"b","11.28 ± 1.09 b"
"23",2019-08-15 11:15:00,"2",3.09461743027209e-05,17.2242253662963,0.796114250893696,17.2242253662963,"a","17.22 ± 0.8 a"
"33",2019-08-15 11:15:00,"3",3.09461743027209e-05,16.2419833925926,0.725552978635953,16.2419833925926,"a","16.24 ± 0.73 a"
"12",2019-08-15 09:00:00,"1",0.380940618495533,15.15503912,0.466663826966566,15.15503912,"a","15.16 ± 0.47 a"
"22",2019-08-15 09:00:00,"2",0.380940618495533,14.9674436357778,0.458912034083396,14.9674436357778,"a","14.97 ± 0.46 a"
"32",2019-08-15 09:00:00,"3",0.380940618495533,15.8141466351852,0.467034745182826,15.8141466351852,"a","15.81 ± 0.47 a"
"11",2019-08-15 06:00:00,"1",0.641838371037403,-0.125768210666667,0.096072771603687,-0.125768210666667,"a","-0.13 ± 0.1 a"
"21",2019-08-15 06:00:00,"2",0.641838371037403,0.313786395,0.718391246608432,0.313786395,"a","0.31 ± 0.72 a"
"31",2019-08-15 06:00:00,"3",0.641838371037403,0.705597833,0.536287769183623,0.705597833,"a","0.71 ± 0.54 a"
