"","date","year","day","hhmmss","pixel_number","BH_Block","BH_Vine","BH_Leaf","round","E","A","Ci","gsw","Fv.Fm","Tleaf","Tair","VPDleaf","RHcham","Leaf_wp_bar","Stem_wp_bar","Leak","wrong_vine","treatment","Rep"
"1",2019-07-01,2019,182,"7:08:14",35,"B1_R1",1,1,"1",0.008770115,4.390281078,375.4884936,1.571590021,0.776368784,16.80074839,18.65527419,0.764145788,53.56326326,-5.2,NA,"No","No",2,2
"2",2019-07-01,2019,182,NA,35,"B1_R1",1,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2
"3",2019-07-01,2019,182,NA,35,"B1_R1",1,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2
"4",2019-07-01,2019,182,NA,35,"B1_R1",1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2
"5",2019-07-01,2019,182,NA,35,"B1_R1",1,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2
"6",2019-07-01,2019,182,"7:11:04",35,"B1_R1",2,1,"1",0.000783007,-0.302088193,399.5692232,0.072674873,0.764236832,18.22478065,19.06177742,1.092182482,45.55981003,-6.1,NA,"No","No",2,2
"7",2019-07-01,2019,182,"10:31:43",35,"B1_R1",2,1,"2",0.002974969,11.5645607,216.1306376,0.121010509,0.774975295,33.25763548,33.30953871,2.454628696,51.95994197,-9.4,NA,"No","No",2,2
"8",2019-07-01,2019,182,"14:11:24",35,"B1_R1",2,1,"3",0.007681423,16.5734528,247.8090811,0.247904213,0.774975295,37.86582903,38.78810323,3.144571386,49.87031612,NA,NA,"No","No",2,2
"9",2019-07-01,2019,182,"16:51:20",35,"B1_R1",2,1,"4",0.003221454,7.769997806,250.1302625,0.103348806,0.774975295,36.95686552,36.9451069,3.063366099,51.33116736,NA,NA,"No","No",2,2
"10",2019-07-01,2019,182,NA,35,"B1_R1",2,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2
"11",2019-07-01,2019,182,"7:15:29",35,"B1_R1",3,1,"1",0.001333996,-0.112849249,394.0871773,0.131023411,0.722566781,18.87875161,19.55204194,1.045317859,50.09118313,-5.4,NA,"No","No",2,2
"12",2019-07-01,2019,182,NA,35,"B1_R1",3,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2
"13",2019-07-01,2019,182,NA,35,"B1_R1",3,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2
"14",2019-07-01,2019,182,NA,35,"B1_R1",3,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2
"15",2019-07-01,2019,182,NA,35,"B1_R1",3,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2
"16",2019-07-01,2019,182,"7:18:53",35,"B1_R1",4,1,"1",0.000683098,-0.749619225,412.2004017,0.062405828,0.733712207,19.44026774,19.98239677,1.105291453,49.53842982,-5.1,NA,"No","No",2,2
"17",2019-07-01,2019,182,"10:37:33",35,"B1_R1",4,1,"2",0.004852865,14.64211216,252.4780835,0.209330408,0.774975295,33.62277419,34.14898387,2.359594153,53.30810403,-10.1,NA,"No","No",2,2
"18",2019-07-01,2019,182,"14:24:23",35,"B1_R1",4,1,"3",0.004637924,10.80436356,246.5464173,0.146437467,0.774975295,38.32753548,39.10853226,3.13328301,51.54481373,-10.9,-9.8,"No","No",2,2
"19",2019-07-01,2019,182,"16:37:17",35,"B1_R1",4,1,"4",0.001773953,6.582673934,177.723659,0.05364585,0.774975295,37.69728966,37.85591724,3.205119054,50.62051,-10.4,NA,"No","No",2,2
"20",2019-07-01,2019,182,"18:53:39",35,"B1_R1",4,1,"5",0.002648433,7.137555757,270.1087775,0.109801001,0.774975295,33.24046129,34.00879677,2.393223353,51.0238148,-8.8,NA,"No","No",2,2
"21",2019-07-01,2019,182,"7:23:37",35,"B1_R1",5,1,"1",0.001352393,-0.954370406,405.8808714,0.121497692,0.72659672,19.65704194,20.38207097,1.139705674,48.17603405,-5.2,NA,"No","No",2,2
"22",2019-07-01,2019,182,NA,35,"B1_R1",5,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2
"23",2019-07-01,2019,182,NA,35,"B1_R1",5,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2
"24",2019-07-01,2019,182,NA,35,"B1_R1",5,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2
"25",2019-07-01,2019,182,NA,35,"B1_R1",5,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2
"26",2019-07-01,2019,182,"7:25:58",35,"B1_R1",6,1,"1",0.000973359,-0.547669437,402.9481152,0.087172373,0.782710009,19.97919032,20.62291935,1.133443099,49.6231199,-5,NA,"No","No",2,2
"27",2019-07-01,2019,182,"10:42:03",35,"B1_R1",6,1,"2",0.006611501,16.28575392,283.8806195,0.33738505,0.774975295,32.48052903,34.49466452,2.056823775,51.88579889,-9.3,NA,"No","No",2,2
"28",2019-07-01,2019,182,"14:16:19",35,"B1_R1",6,1,"3",0.008006373,16.22232201,263.3202603,0.28335301,0.774975295,37.72789355,38.87829355,2.888053401,52.59716834,NA,NA,"No","No",2,2
"29",2019-07-01,2019,182,"16:56:58",35,"B1_R1",6,1,"4",0.001974489,6.65989623,215.7477869,0.067001076,0.774975295,36.06866897,36.32373103,2.876855572,51.26041642,NA,NA,"No","No",2,2
"30",2019-07-01,2019,182,NA,35,"B1_R1",6,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2
"31",2019-07-01,2019,182,"6:13:30",45,"B1_R2",1,1,"1",0.00025807,-0.484060691,420.7719233,0.027658009,0.806596491,17.04077097,17.63337419,0.936184967,50.0693805,-8.5,NA,"No","No",3,1
"32",2019-07-01,2019,182,"10:06:17",45,"B1_R2",1,1,"2",0.002071103,12.30590469,157.6348943,0.095735746,0.774975295,31.01056129,31.71446774,2.157316784,50.16074788,-11.2,NA,"No","No",3,1
"33",2019-07-01,2019,182,"13:51:54",45,"B1_R2",1,1,"3",0.005573992,5.243200793,324.7949806,0.181066408,0.774975295,37.82929032,38.4780871,3.076403024,51.51762872,NA,NA,"No","No",3,1
