"","interval","treatment","round","avg_A","sev"
"1",2019-07-25 06:00:00,1,1,0.7302779415,0.8639596034931
"2",2019-07-25 06:00:00,2,1,0.224783672,0.227722272711938
"3",2019-07-25 06:00:00,3,1,0.959386859777778,0.965845299981492
"4",2019-07-25 08:30:00,1,2,10.7589865199444,0.387204462150238
"5",2019-07-25 08:30:00,2,2,13.3989769605926,0.352766972271844
"6",2019-07-25 08:30:00,3,2,11.7989169381111,0.389971890675032
"7",2019-07-25 11:00:00,1,3,12.4411321237222,0.604760756403121
"8",2019-07-25 11:00:00,2,3,17.5236747611111,0.745117395467686
"9",2019-07-25 11:00:00,3,3,16.9112683025926,0.590042152574526
"10",2019-07-25 13:00:00,1,4,6.36544117538889,0.43816735241856
"11",2019-07-25 13:00:00,2,4,14.4393196712963,0.608135897455509
"12",2019-07-25 13:00:00,3,4,13.8127875449259,0.366420271642476
"13",2019-07-25 17:00:00,1,5,5.15202978122222,0.564729447929005
"14",2019-07-25 17:00:00,2,5,10.4949608102963,0.740167543786914
"15",2019-07-25 17:00:00,3,5,10.4120962710741,0.591151140948885
